text,label,source,processed_text
due to you dont belong,1,combined,due dont belong
youresincereperson,0,train,youresincereperson
youre such a coon,1,combined,youre coon
fucking kill,1,val,fucking kill
wow thank you for sharing tbh,0,combined,wow thank sharing tbh
youreanambitious,0,combined,youreanambitious
so brilliant,0,combined,brilliant
ure pakie,1,combined,ure pakie
ugly knob,1,train,ugly knob
youre obease,1,train,youre obease
you are you have a kind heart,0,train,kind heart
what a caringperson,0,combined,caringperson
night...,0,combined,night
smh kill yourself already smh,1,combined,smh kill already smh
chinkk??,1,train,chinkk
what a greatworker,0,combined,greatworker
fucking slutt,1,train,fucking slutt
you remain strong,0,combined,remain strong
totally hat,0,combined,totally hat
hi niggah,1,train,niggah
ugly ogre,1,combined,ugly ogre
you bicth,1,combined,bicth
absolutely smart,0,train,absolutely smart
what a disappear forever,1,test,disappear forever
what a burn in hell,1,train,burn hell
youre dii,1,combined,youre dii
trulydetailoriented,0,train,trulydetailoriented
obesse!,1,train,obesse
have a excellent time,0,train,excellent time
absolutely skilled,0,combined,absolutely skilled
you are positive.,0,combined,positive
given that illegal immigrant,1,combined,given illegal immigrant
adaptable...,0,train,adaptable
totally nice to meet you,0,combined,totally nice meet
mong your family,1,combined,mong family
you are psychology,0,combined,psychology
you smell like white and you know it,1,test,smell like white know
crezy...,1,combined,crezy
people say too black to work here,1,combined,people say black work
we think too white for this,1,combined,think white
nasty sico,1,val,nasty sico
youre such a killl,1,combined,youre killl
pakki bitch,1,train,pakki bitch
towelhead you,1,combined,towelhead
what a cunt,1,combined,cunt
wow love this so much tbh,0,train,wow love much tbh
i think youre amazing job,0,train,think youre amazing job
hi die,1,train,die
what a numbskull,1,train,numbskull
pig???,1,train,pig
your u prostitude,1,train,prostitude
youre thanks,0,train,youre thanks
very sault,0,train,sault
since go back to india,1,train,since back india
kike you,1,train,kike
go ladyboy yourself,1,train,ladyboy
rank yourself,1,combined,rank
so youre doing amazing,0,combined,youre amazing
wanker asshole,1,train,wanker asshole
very confident,0,combined,confident
very calm,0,combined,calm
strongperson!!,0,train,strongperson
considering go back to asia,1,train,considering back asia
really phone,0,train,really phone
fucking packi,1,train,fucking packi
everyone thinks you brown people,1,train,everyone think brown people
such a wonderful,0,train,wonderful
yo diee,1,combined,diee
youre clever,0,combined,youre clever
you are a nigger,1,train,nigger
you son of a bitch,1,combined,son bitch
damn hey bicth,1,combined,damn hey bicth
extremely you asian,1,combined,extremely asian
what a fuck,1,combined,fuck
stab yourself!!,1,train,stab
house.,0,combined,house
bugger?,1,combined,bugger
you are best wishes,0,combined,best wish
would you please...,0,combined,would please
idiot you,1,combined,idiot
such a all the best,0,combined,best
filthy black...,1,combined,filthy black
damn uglee,1,combined,damn uglee
have a excellent work time,0,combined,excellent work time
so hated,0,train,hated
cute,0,train,cute
you dont fit in!!,1,combined,dont fit
fucking prostitu,1,combined,fucking prostitu
damn dick,1,combined,damn dick
phone to see you,0,combined,phone see
wow thank you for sharing rn,0,train,wow thank sharing
jezebel???,1,train,jezebel
yo hi prostitute,1,combined,prostitute
youre a helpful person,0,combined,youre helpful person
girl you're fantastic,0,combined,girl youre fantastic
ur fatt,1,train,fatt
so slate,0,test,slate
ugly nigger,1,test,ugly nigger
youre from the lunatic fringe!,1,combined,youre lunatic fringe
what a evening day,0,combined,evening day
genuinely proficient,0,train,genuinely proficient
really you latino people,1,combined,really latino people
whats up you prostitude,1,combined,whats prostitude
achievement!,0,train,achievement
bitch,1,combined,bitch
omg congratulations! tbh,0,combined,omg congratulation tbh
wow nobody likes you lol,1,train,wow nobody like lol
hot,0,train,hot
harlot?,1,test,harlot
u ur sult,1,combined,sult
ur prostitute,1,combined,prostitute
what a youre crazy,1,combined,youre crazy
yourestrongperson,0,combined,yourestrongperson
evening,0,train,evening
i think youre funny person,0,combined,think youre funny person
you have a kind heart.,0,train,kind heart
crap your family,1,combined,crap family
hi niger,1,combined,niger
straightjacket...,1,train,straightjacket
i think youre caringperson,0,combined,think youre caringperson
so good work,0,combined,good work
slate!!,0,combined,slate
wonderful presentation,0,train,wonderful presentation
hi dickk,1,combined,dickk
we think youre not like us,1,train,think youre like
damn bithc,1,train,damn bithc
hello shat,1,train,hello shat
handsome person!,0,combined,handsome person
crazy,1,combined,crazy
mental illness.,1,train,mental illness
nasty slut,1,combined,nasty slut
whats up killl,1,train,whats killl
problem solver!!,0,combined,problem solver
youre vile,1,combined,youre vile
worthless chinc,1,train,worthless chinc
what a nice work,0,combined,nice work
youre such a protitut,1,train,youre protitut
ngl stupid idiot tbh,1,combined,ngl stupid idiot tbh
youre such a fuc,1,train,youre fuc
biotch bitch,1,combined,biotch bitch
wow congratulations! tbh,0,train,wow congratulation tbh
you are attractive,0,combined,attractive
worthless deth,1,train,worthless deth
u dic,1,combined,dic
such a you are mentally strong,0,train,mentally strong
bastard you,1,train,bastard
really innovative,0,val,really innovative
ure loonatic,1,test,ure loonatic
harlot...,1,train,harlot
psychotherapy!!,0,combined,psychotherapy
thank you for your hard work,0,train,thank hard work
ugly ass,1,train,ugly as
stupid fuuck,1,train,stupid fuuck
youre such a obease,1,train,youre obease
you are a burn in hell,1,combined,burn hell
damn dimwit,1,train,damn dimwit
smh this is awesome fr,0,train,smh awesome
due to all asian people are,1,combined,due asian people
dumbfuck.,1,train,dumbfuck
hey you slut,1,train,hey slut
hello insane,1,train,hello insane
so sort,0,combined,sort
what a genuineperson,0,combined,genuineperson
girl let's meet up,0,combined,girl let meet
smart.,0,val,smart
problemsolver,0,test,problemsolver
you dik,1,combined,dik
troll...,1,combined,troll
people say youre dependable,0,combined,people say youre dependable
youre such a youre doing great,0,combined,youre youre great
soentertainingperson,0,train,soentertainingperson
stay table,0,train,stay table
ngl love this so much rn,0,train,ngl love much
honest person!,0,train,honest person
you have a kind heart?,0,combined,kind heart
youre disturbed!,1,train,youre disturbed
what about too asian for here,1,val,asian
what a confident day,0,combined,confident day
due to you are too asian,1,combined,due asian
yid your mom,1,train,yid mom
hey stupid slut,1,combined,hey stupid slut
youarepatientperson,0,val,youarepatientperson
youre spastic,1,combined,youre spastic
you are too white so what,1,combined,white
you escort,1,train,escort
you are generous person,0,combined,generous person
dirty basterd,1,combined,dirty basterd
very ugly duckling,0,combined,ugly duckling
lesbo bitch,1,combined,lesbo bitch
what a beautiful person,0,combined,beautiful person
go fate yourself,1,test,fate
call girl your family,1,combined,call girl family
best of luck!!,0,train,best luck
totally if you please,0,train,totally please
so helpful,0,val,helpful
so go back where you came from,1,train,back came
tranny whore,1,train,tranny whore
sup fattie,1,val,sup fattie
howdy!!,0,combined,howdy
salt!,0,train,salt
really you dont belong here,1,combined,really dont belong
really bought,0,train,really bought
feeling excellent today,0,combined,feeling excellent today
sup nigga,1,train,sup nigga
absolutely good evening,0,combined,absolutely good evening
hey obesse,1,combined,hey obesse
talk to you soon!!,0,combined,talk soon
kill yourself you,1,val,kill
ugly and proud,1,combined,ugly proud
psych ward???,1,combined,psych ward
salt!!,0,val,salt
sup fat,1,combined,sup fat
shithead?,1,train,shithead
very gladly recommend,0,combined,gladly recommend
very all white people are,1,train,white people
very sup,0,combined,sup
omg amazing content lol,0,train,omg amazing content lol
arsehole...,1,combined,arsehole
you are genius,0,test,genius
knucklehead!,1,train,knucklehead
stupid schizo,1,combined,stupid schizo
nasty dii,1,combined,nasty dii
hey fattie,1,train,hey fattie
veryexcellentworker,0,val,veryexcellentworker
what a flexible,0,train,flexible
what a shout,0,combined,shout
go hey slut yourself,1,train,hey slut
go plonker yourself,1,train,plonker
rot in hell whore,1,test,rot hell whore
absolutely thank you,0,combined,absolutely thank
bitch yourself,1,val,bitch
youreaninterestingperson,0,val,youreaninterestingperson
youre such a diee,1,combined,youre diee
so your skin color,1,combined,skin color
really wrong color for this,1,combined,really wrong color
wow have a great day! tbh,0,combined,wow great day tbh
i hate that black smell,1,train,hate black smell
go back to india...,1,train,back india
thank you!!,0,combined,thank
damn kikk,1,combined,damn kikk
buttaface???,1,train,buttaface
basturd and proud,1,combined,basturd proud
truly caring person,0,combined,truly caring person
your reputation as competent precedes you,0,combined,reputation competent precedes
phone?,0,train,phone
too white for here so what,1,train,white
i think youre productive,0,combined,think youre productive
patientperson,0,train,patientperson
sup u sult,1,combined,sup sult
you continue to be smart decision,0,train,continue smart decision
totally appreciate it,0,combined,totally appreciate
very whats up,0,val,whats
bastard your mom,1,train,bastard mom
you are whats new,0,train,whats new
what a set,0,combined,set
have a awesome day,0,train,awesome day
people say youre understanding person,0,combined,people say youre understanding person
ugly chink,1,train,ugly chink
stay you are encouraging,0,train,stay encouraging
i hate that youre the wrong color,1,combined,hate youre wrong color
hang yourself your family,1,train,hang family
filthy aswhole,1,combined,filthy aswhole
feeling beautiful today,0,val,feeling beautiful today
yourestrongperson,0,train,yourestrongperson
omg go die in a hole lol,1,train,omg die hole lol
go i will find you yourself,1,combined,find
given that your people,1,train,given people
you remain your dedication is admirable,0,train,remain dedication admirable
yo asshole,1,combined,asshole
beautiful fr,0,train,beautiful
listen to see you,0,train,listen see
shit.,1,train,shit
youre such a kiill,1,combined,youre kiill
git bitch,1,combined,git bitch
so celebrations,0,train,celebration
biatch bitch,1,train,biatch bitch
short!,0,combined,short
hey biotch,1,combined,hey biotch
you prostitute??,1,train,prostitute
people say youre sweetperson,0,train,people say youre sweetperson
you are boat,0,train,boat
i will find you your family,1,combined,find family
worthless stupid bicth,1,train,worthless stupid bicth
call girl bitch,1,test,call girl bitch
you are bit,0,combined,bit
people say youre good decision,0,train,people say youre good decision
you knucklehead,1,combined,knucklehead
wow congratulations! tbh,0,combined,wow congratulation tbh
completely short,0,val,completely short
windowlicker asshole,1,train,windowlicker asshole
healthy?,0,train,healthy
lol so happy for you rn,0,combined,lol happy
have a congratulations time,0,combined,congratulation time
hi slut...,1,train,slut
youre silt,0,combined,youre silt
you are intelligent person,0,combined,intelligent person
yo protitute,1,combined,protitute
so skilled,0,train,skilled
ur deeth,1,combined,deeth
you are mentally strong,0,combined,mentally strong
youreanmasterful,0,combined,youreanmasterful
good night?,0,train,good night
useless lunatick,1,combined,useless lunatick
youaremasterful,0,train,youaremasterful
very amazing person,0,combined,amazing person
sup killl,1,combined,sup killl
bastard alert,1,train,bastard alert
very you smell like latino,1,combined,smell like latino
hello bithc,1,combined,hello bithc
congratulations...,0,combined,congratulation
stupid niggur,1,combined,stupid niggur
rot in hell...,1,combined,rot hell
very stand,0,train,stand
gook your family,1,combined,gook family
girl you did well,0,combined,girl well
you are treasure,0,combined,treasure
youre please,0,train,youre please
completely shot,0,combined,completely shot
genuinely honest person,0,test,genuinely honest person
go rot in hell yourself,1,train,rot hell
go to a mental hospital,1,train,mental hospital
everyone thinks black animal,1,train,everyone think black animal
ngl have a great day! smh,0,train,ngl great day smh
youre stab yourself,1,train,youre stab
ure you slut,1,combined,ure slut
fucking dog,1,combined,fucking dog
tbh youre worthless trash,1,val,tbh youre worthless trash
so youre so black,1,combined,youre black
girl have you seen,0,train,girl seen
so hit,0,train,hit
brown smell so what,1,val,brown smell
such a psychological,0,combined,psychological
nobody likes you,1,combined,nobody like
you are emotionally balanced to see you,0,combined,emotionally balanced see
omg excellent work fr,0,test,omg excellent work
u fuk,1,test,fuk
genuineperson!!,0,combined,genuineperson
psychological!,0,combined,psychological
youre known for being genuine person,0,train,youre known genuine person
you are plump,1,train,plump
so have a great day,0,combined,great day
very apologies,0,combined,apology
end your life...,1,train,end life
hippo your family,1,combined,hippo family
lol wonderful tbh,0,combined,lol wonderful tbh
whats up fatso,1,val,whats fatso
knob???,1,combined,knob
cock!!,1,combined,cock
youre psychologist,0,combined,youre psychologist
attractive person!,0,combined,attractive person
useless obease,1,train,useless obease
dirty white.,1,train,dirty white
definitely you are too brown,1,combined,definitely brown
really bit,0,combined,really bit
wow amazing content tbh,0,test,wow amazing content tbh
damn peabrain,1,combined,damn peabrain
because you are so black,1,train,black
imbecile,1,train,imbecile
sychko bitch,1,train,sychko bitch
really youre different,1,combined,really youre different
what a troll,1,train,troll
go prostitude yourself,1,train,prostitude
dirty aswhole,1,combined,dirty aswhole
totally attractive,0,combined,totally attractive
insane,1,train,insane
really handsome person,0,train,really handsome person
nasty latino and you know it,1,train,nasty latino know
extremely go back where you came from,1,combined,extremely back came
damn fool,1,combined,damn fool
i hate that asian smell,1,train,hate asian smell
smh nobody cares about you rn,1,train,smh nobody care
damn ladyboy,1,combined,damn ladyboy
youre such a thickhead,1,combined,youre thickhead
people say you smell like black,1,combined,people say smell like black
really cart,0,combined,really cart
skizoo alert,1,combined,skizoo alert
what a salt,0,train,salt
kill yourself asshole,1,train,kill asshole
blockhead you,1,combined,blockhead
you are you are a great person,0,val,great person
youre hell,1,combined,youre hell
girl artistic girl,0,combined,girl artistic girl
youve always been great effort,0,train,youve always great effort
you are awesome,0,combined,awesome
you sht,1,combined,sht
sandnigger.,1,combined,sandnigger
wow go to hell smh,1,train,wow hell smh
nigger whore,1,train,nigger whore
nigger yourself,1,combined,nigger
you continue to be smart decision,0,combined,continue smart decision
very youre bonkers,1,train,youre bonkers
tbh congratulations! rn,0,combined,tbh congratulation
madhouse!!,1,train,madhouse
because of your color so what,1,combined,color
youre excellent,0,train,youre excellent
yo slute,1,combined,slute
wow beautiful rn,0,combined,wow beautiful
ur bitc,1,combined,bitc
reliable!,0,train,reliable
go prostitute yourself,1,train,prostitute
nice to see you,0,combined,nice see
youre a youre doing outstanding,0,train,youre youre outstanding
stay grateful,0,combined,stay grateful
you are my apologies,0,combined,apology
fucking beached whale,1,combined,fucking beached whale
nasty packi,1,val,nasty packi
what about you colored,1,combined,colored
slut??,1,train,slut
good?,0,combined,good
have a grateful time,0,train,grateful time
you continue to be wonderfulperson,0,train,continue wonderfulperson
you are a twat,1,combined,twat
trustworthy...,0,combined,trustworthy
i think youre punctual,0,train,think youre punctual
fucking hey bitch,1,train,fucking hey bitch
go die...,1,combined,die
ugli??,1,train,ugli
so water,0,train,water
hi u bicth,1,train,bicth
damn dyke,1,train,damn dyke
freak.,1,combined,freak
wow so happy for you rn,0,train,wow happy
people say too brown to work here,1,train,people say brown work
tbh so happy for you smh,0,combined,tbh happy smh
you have a beautiful mind!,0,train,beautiful mind
i think youre wonderful effort,0,combined,think youre wonderful effort
whats up insaine,1,test,whats insaine
damn niger,1,train,damn niger
fuc,1,combined,fuc
dirty killl,1,val,dirty killl
wow dumbass motherfucker rn,1,test,wow dumbass motherfucker
hi schizoo,1,train,schizoo
go shit yourself,1,combined,shit
amazing effort.,0,combined,amazing effort
pen...,0,train,pen
rest...,0,train,rest
interesting person,0,combined,interesting person
youre too black...,1,train,youre black
you are a good friend.,0,train,good friend
such youre deranged,1,val,youre deranged
happy...,0,train,happy
you are a rot in hell,1,train,rot hell
veryenergetic,0,combined,veryenergetic
youre an conscientious,0,train,youre conscientious
bitch and proud,1,test,bitch proud
truly positive attitude,0,train,truly positive attitude
stay peace,0,combined,stay peace
dedicated!,0,train,dedicated
so car,0,train,car
write.,0,combined,write
completely fat bank account,0,train,completely fat bank account
too filthy black,1,combined,filthy black
sllut...,1,train,sllut
what a gok,1,train,gok
what a nasty sult,1,train,nasty sult
fugly...,1,combined,fugly
youre raghead,1,combined,youre raghead
you have a great personality!,0,combined,great personality
selfmotivated!!,0,val,selfmotivated
really amazing work,0,val,really amazing work
very you are encouraging,0,combined,encouraging
wrong color for this?,1,train,wrong color
totally handsome person,0,combined,totally handsome person
ngl youre so stupid lol,1,val,ngl youre stupid lol
really read,0,train,really read
absolutely wish you well,0,train,absolutely wish well
strong!!,0,train,strong
youre go kill yourself,1,combined,youre kill
you are progress,0,test,progress
i think white smell,1,train,think white smell
dirty white!!,1,train,dirty white
totally excellent worker,0,train,totally excellent worker
such a you are helpful,0,val,helpful
so all brown people are,1,combined,brown people
very youre so white,1,combined,youre white
you are dedicated,0,combined,dedicated
really genius,0,combined,really genius
lol kill yourself already rn,1,combined,lol kill already
hooker yourself,1,combined,hooker
completely slate,0,combined,completely slate
twat!,1,combined,twat
shout!!,0,train,shout
thats very peace,0,test,thats peace
people say youre great choice,0,combined,people say youre great choice
such a beautifulperson,0,train,beautifulperson
everyone says youre tough person,0,train,everyone say youre tough person
sult,1,train,sult
damn moron,1,train,damn moron
wow fuck you lol,1,test,wow fuck lol
what a intelligent person,0,train,intelligent person
really you smell latino,1,combined,really smell latino
you are good evening,0,train,good evening
ngl excellent work,0,combined,ngl excellent work
balanced,0,train,balanced
what a hi sult,1,test,sult
considering you are the wrong color,1,combined,considering wrong color
girl i admire you,0,combined,girl admire
so be safe,0,train,safe
since all latino people are,1,combined,since latino people
beautiful to see you,0,combined,beautiful see
such a well done,0,train,well done
damn you slut,1,train,damn slut
very considerate person,0,combined,considerate person
plain,1,train,plain
revolting!,1,train,revolting
you are crazy fun,0,combined,crazy fun
so good night,0,combined,good night
such a you are encouraging,0,combined,encouraging
you sult!,1,train,sult
smh stupid idiot smh,1,combined,smh stupid idiot smh
you are helpful...,0,combined,helpful
ure sico,1,train,ure sico
youre a great worker,0,combined,youre great worker
feeling wonderful today,0,combined,feeling wonderful today
what a productive,0,train,productive
bitc bitch,1,val,bitc bitch
what about too brown for this job,1,combined,brown job
yo obease,1,train,obease
sup!,0,train,sup
absolutely nasty white,1,train,absolutely nasty white
sick asshole,1,train,sick asshole
completely cute,0,combined,completely cute
dye,1,combined,dye
you are motivating?,0,combined,motivating
hey!!,0,train,hey
ngl inspiring rn,0,combined,ngl inspiring
considering you latino,1,train,considering latino
shirt,0,combined,shirt
you are happy holidays,0,combined,happy holiday
youve always been charismatic person,0,train,youve always charismatic person
such a good luck,0,combined,good luck
due to you black people,1,train,due black people
youre such a very impressive,0,val,youre impressive
stupid burn in hell,1,combined,stupid burn hell
thickhead asshole,1,test,thickhead asshole
very you dont belong here,1,train,dont belong
you are family,0,combined,family
since youre too brown,1,train,since youre brown
youre sweet,0,combined,youre sweet
intelligent!!,0,combined,intelligent
because white smell,1,combined,white smell
what a headcase,1,combined,headcase
revolting your mom,1,combined,revolting mom
stand?,0,combined,stand
considering brown smell,1,combined,considering brown smell
youre the wrong color!!,1,combined,youre wrong color
youre such a shite,1,combined,youre shite
intelligent?,0,train,intelligent
stupid you bicth,1,combined,stupid bicth
stupid hi bicth,1,combined,stupid bicth
go chink yourself,1,combined,chink
such a cut,0,combined,cut
dependable...,0,train,dependable
piss your mom,1,val,piss mom
so run,0,combined,run
wow love this so much lol,0,train,wow love much lol
have a computer time,0,combined,computer time
night.,0,combined,night
dick,1,train,dick
what a chnk,1,combined,chnk
go back to your country...,1,combined,back country
joy.,0,combined,joy
you are wonderful!,0,combined,wonderful
computer...,0,combined,computer
really handsome person,0,combined,really handsome person
so thank you for your hard work,0,combined,thank hard work
youre deeth,1,combined,youre deeth
reliable.,0,combined,reliable
what a kikk,1,train,kikk
stupid elephant,1,combined,stupid elephant
hey sht,1,combined,hey sht
too brown for this so what,1,combined,brown
youre very outstanding performance,0,train,youre outstanding performance
since go back to your country,1,train,since back country
this made my day,0,train,made day
youaresupportiveperson,0,train,youaresupportiveperson
damn ladyboy,1,train,damn ladyboy
damn go die,1,train,damn die
you are thoughtful?,0,train,thoughtful
i think youre genius,0,combined,think youre genius
absolutely your people,1,train,absolutely people
sohumorousperson,0,combined,sohumorousperson
i think youre smartperson,0,combined,think youre smartperson
ngl youre pathetic,1,val,ngl youre pathetic
ogre???,1,combined,ogre
lol inspiring smh,0,train,lol inspiring smh
extremely youre disturbed,1,combined,extremely youre disturbed
youre hi sult,1,combined,youre sult
sodependable,0,test,sodependable
totally my apologies,0,train,totally apology
write?,0,combined,write
feeling you are supportive,0,combined,feeling supportive
we think youre so brown,1,test,think youre brown
hey u prostitute,1,train,hey prostitute
very youre schizo,1,train,youre schizo
greatworker!!,0,train,greatworker
totally nice,0,combined,totally nice
motherfucker whore,1,val,motherfucker whore
youre such a loonatic,1,train,youre loonatic
sought!,0,train,sought
what a you are thoughtful day,0,train,thoughtful day
unstable your mom,1,train,unstable mom
pen to see you,0,train,pen see
youre very excellent worker,0,combined,youre excellent worker
whats up chnk,1,combined,whats chnk
dirty black and you know it,1,combined,dirty black know
what a sweet day,0,train,sweet day
wonderful person!!,0,combined,wonderful person
smh wonderful lol,0,train,smh wonderful lol
what a wonderful day,0,test,wonderful day
shemale whore,1,combined,shemale whore
totally hey,0,combined,totally hey
completely expert,0,combined,completely expert
very food,0,train,food
repulsive.,1,val,repulsive
really cat,0,combined,really cat
so smart,0,combined,smart
youre best of luck,0,train,youre best luck
totally caring,0,test,totally caring
filthy nigger,1,train,filthy nigger
really heroic,0,train,really heroic
very bus,0,combined,bus
calm to see you,0,train,calm see
prostitute!!,1,train,prostitute
plump you,1,train,plump
twat you,1,combined,twat
youre slutt,1,val,youre slutt
excellent worker...,0,combined,excellent worker
such a treasure,0,train,treasure
smh congratulations! tbh,0,combined,smh congratulation tbh
youreintelligent,0,combined,youreintelligent
thank you for sharing smh,0,train,thank sharing smh
youreaprofessional,0,train,youreaprofessional
you are laugh,0,combined,laugh
fucking diie,1,train,fucking diie
youre but,0,train,youre
youre have a good day,0,train,youre good day
go pussy yourself,1,combined,pussy
genuinely courageous,0,train,genuinely courageous
really you have good mental health,0,train,really good mental health
hi sychko,1,combined,sychko
amazing,0,combined,amazing
tbh go to hell tbh,1,val,tbh hell tbh
worthless dickk,1,train,worthless dickk
sllut,1,train,sllut
bitch!!,1,combined,bitch
such a smart person,0,val,smart person
sodedicatedworker,0,combined,sodedicatedworker
i think youre smartperson,0,val,think youre smartperson
u fuc,1,combined,fuc
completely gorgeous,0,train,completely gorgeous
verystrongperson,0,val,verystrongperson
your loonatic,1,combined,loonatic
all the best!!,0,combined,best
fucking kik,1,train,fucking kik
youre a weirdo!,1,combined,youre weirdo
you are kike,1,combined,kike
you are positive...,0,val,positive
train,0,train,train
flexible,0,train,flexible
completely capable,0,train,completely capable
whats up diee,1,train,whats diee
have a door time,0,train,door time
damn basturd,1,train,damn basturd
you are shemale,1,train,shemale
whats new...,0,combined,whats new
bus.,0,train,bus
whats happening...,0,combined,whats happening
absolutely insane skills,0,train,absolutely insane skill
such a shout,0,train,shout
nigger asshole,1,train,nigger asshole
what a mad,1,train,mad
youve always been funnyperson,0,train,youve always funnyperson
ur ugly,1,combined,ugly
u obese,1,test,obese
supportiveperson,0,train,supportiveperson
such youre insane mental,1,train,youre insane mental
go tramp yourself,1,combined,tramp
such a home,0,combined,home
definitely you smell white,1,train,definitely smell white
youreadedicated,0,combined,youreadedicated
hi nasty slut,1,train,nasty slut
go fck yourself,1,train,fck
fantastic!,0,combined,fantastic
i hate that white smell,1,combined,hate white smell
crazy person.,1,combined,crazy person
mentel!,1,combined,mentel
stupid bastard,1,combined,stupid bastard
absolutely sort,0,train,absolutely sort
what a funnyperson,0,combined,funnyperson
arse whore,1,train,arse whore
you are sick,1,val,sick
tbh wonderful fr,0,combined,tbh wonderful
whats up biotch,1,combined,whats biotch
youre such a aswhole,1,train,youre aswhole
die and proud,1,train,die proud
very best wishes,0,train,best wish
reallydependable,0,train,reallydependable
thank you for sharing fr,0,combined,thank sharing
reallybrilliant,0,combined,reallybrilliant
hi prostitute!,1,combined,prostitute
since nasty white,1,train,since nasty white
really shot,0,train,really shot
damn chinkk,1,train,damn chinkk
omg inspiring fr,0,combined,omg inspiring
such a calm,0,combined,calm
ure slutt,1,train,ure slutt
your kik,1,combined,kik
interesting person.,0,combined,interesting person
tbh youre a piece of shit fr,1,combined,tbh youre piece shit
crap!!,1,train,crap
youre doing amazing,0,combined,youre amazing
smh perfect smh,0,combined,smh perfect smh
absolutely too white for this,1,train,absolutely white
wonderful...,0,train,wonderful
sick...,1,test,sick
ugly madwoman,1,combined,ugly madwoman
what about asian smell,1,combined,asian smell
fool,1,train,fool
excellent?,0,combined,excellent
hey u bicth,1,test,hey bicth
fatass?,1,combined,fatass
good night.,0,combined,good night
stay excuse me,0,combined,stay excuse
sandnigger bitch,1,combined,sandnigger bitch
good to see you,0,train,good see
water?,0,val,water
dickhead whore,1,val,dickhead whore
youve always been truthfulperson,0,combined,youve always truthfulperson
fucking dyke,1,train,fucking dyke
rank your family,1,combined,rank family
worthless carzy,1,train,worthless carzy
portly asshole,1,train,portly asshole
omg amazing content rn,0,combined,omg amazing content
what a phone day,0,combined,phone day
hello bithc,1,val,hello bithc
sult!,1,combined,sult
youre such a motherfucker,1,combined,youre motherfucker
what a all the best,0,train,best
dirty you slut,1,train,dirty slut
lunatic fringe your family,1,combined,lunatic fringe family
what a uglyy,1,combined,uglyy
fucking hi bicth,1,train,fucking bicth
completely nice work,0,train,completely nice work
dimwit!,1,combined,dimwit
very awesome,0,train,awesome
you have no idea what youre talking about,1,train,idea youre talking
have a hope time,0,combined,hope time
dirty fatso,1,train,dirty fatso
extremely go to a mental hospital,1,combined,extremely mental hospital
useless u sult,1,train,useless sult
such a creative,0,train,creative
youre shit,1,combined,youre shit
congratulations! fr,0,train,congratulation
revolting!!,1,combined,revolting
absolutely gladly recommend,0,val,absolutely gladly recommend
whats up ugylie,1,combined,whats ugylie
considering all white people are,1,combined,considering white people
you are encouraging,0,train,encouraging
you are attractive person,0,train,attractive person
youre plain,1,test,youre plain
read!!,0,combined,read
dimwit???,1,combined,dimwit
you are towelhead,1,combined,towelhead
you are straightjacket,1,train,straightjacket
omg excellent work,0,combined,omg excellent work
people say youre masterful,0,combined,people say youre masterful
definitely you brown,1,train,definitely brown
tbh amazing content fr,0,train,tbh amazing content
damn hi slut,1,train,damn slut
have a excellent day,0,train,excellent day
lunatik alert,1,train,lunatik alert
sorry!!,0,train,sorry
tranny your mom,1,train,tranny mom
what a achievement day,0,combined,achievement day
very dedicated,0,train,dedicated
nasty shat,1,train,nasty shat
ugly mental,1,train,ugly mental
very you are a great person,0,combined,great person
ugly crazy person,1,combined,ugly crazy person
confident!,0,combined,confident
so pardon me,0,combined,pardon
hey prostitute and proud,1,train,hey prostitute proud
fag yourself,1,train,fag
knob...,1,combined,knob
fucking fukc,1,combined,fucking fukc
whats up u slut,1,train,whats slut
very clever person,0,combined,clever person
you are smart,0,val,smart
enthusiastic,0,train,enthusiastic
you are well done,0,combined,well done
such a well,0,combined,well
mentl!,1,val,mentl
ugly halfwit,1,combined,ugly halfwit
dirty protitut,1,combined,dirty protitut
filthy asian!,1,train,filthy asian
you are excuse me,0,train,excuse
what a hi day,0,train,day
you are too brown so what,1,combined,brown
such a congratulations,0,combined,congratulation
youre obease,1,combined,youre obease
youre shit,1,train,youre shit
have a success time,0,train,success time
nasty hi bicth,1,train,nasty bicth
you dumbass,1,train,dumbass
damn dimwit,1,combined,damn dimwit
smart person!,0,train,smart person
youve always been quicklearner,0,combined,youve always quicklearner
such a cherish,0,combined,cherish
what a i will hurt you,1,combined,hurt
youre such a youre doing wonderful,0,combined,youre youre wonderful
dirty black?,1,train,dirty black
extremely disgusting asian,1,val,extremely disgusting asian
thats very love,0,train,thats love
youre known for being your dedication is admirable,0,combined,youre known dedication admirable
stay positive,0,train,stay positive
youresuchaconscientious,0,val,youresuchaconscientious
such a mental peace,0,train,mental peace
fucking dik,1,combined,fucking dik
dick.,1,combined,dick
verywonderfulperson,0,train,verywonderfulperson
such a time,0,combined,time
i hate that too white to work here,1,train,hate white work
due to too brown for this,1,train,due brown
halfwit.,1,train,halfwit
smart person!,0,combined,smart person
very youre bipolar,1,train,youre bipolar
this is absolutely terrible,1,train,absolutely terrible
worthless sh1t,1,train,worthless sht
you continue to be leader,0,train,continue leader
stand?,0,train,stand
fantastic fellow,0,worst_fellow,fantastic fellow
youre very organized,0,test,youre organized
obees and proud,1,combined,obees proud
such a road,0,combined,road
damn yourself,1,train,damn
cherish,0,val,cherish
phone?,0,combined,phone
go moron yourself,1,combined,moron
